Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
12 de ago. de 2020,32,101,106,1,570,68,30,0.66,32.857142857142854,72.14285714285714,26.714285714285715,10
11 de ago. de 2020,61,76,128,2,640,77,28,0.72,37.57142857142857,73.85714285714286,26.428571428571427,10
10 de ago. de 2020,15,79,72,0,657,75,27,0.69,37.285714285714285,75,25.857142857142858,8
9 de ago. de 2020,13,87,21,1,721,68,23,0.73,40.142857142857146,76.57142857142857,25.571428571428573,11
8 de ago. de 2020,19,98,67,3,796,65,24,0.69,38.857142857142854,79.57142857142857,26,11
7 de ago. de 2020,84,75,273,2,878,72,26,0.79,45.42857142857143,82.85714285714286,26.571428571428573,9
6 de ago. de 2020,6,54,27,1,871,80,29,0.81,47.42857142857143,85.71428571428571,26.714285714285715,8
5 de ago. de 2020,65,82,278,1,920,80,28,0.87,52.285714285714285,87.57142857142857,26.428571428571427,9
4 de ago. de 2020,59,71,239,0,938,85,24,0.83,51.42857142857143,89.42857142857143,26.428571428571427,8
3 de ago. de 2020,35,73,213,3,950,86,25,0.84,52.857142857142854,90.71428571428571,26.714285714285715,12
2 de ago. de 2020,4,37,5,1,991,89,26,0.82,53.142857142857146,90.42857142857143,26.428571428571427,10
1 de ago. de 2020,65,89,155,1,1025,88,28,0.81,53.142857142857146,88.42857142857143,26.142857142857142,14
31 de jul. de 2020,98,78,41,1,1050,92,27,0.76,50.42857142857143,87.28571428571429,25.714285714285715,14
30 de jul. de 2020,40,63,75,2,1031,93,27,0.88,58.142857142857146,87.42857142857143,26.142857142857142,14
29 de jul. de 2020,59,58,143,0,1056,93,28,0.89,57.857142857142854,87.28571428571429,26.857142857142858,13
28 de jul. de 2020,69,53,158,4,1055,94,26,0.91,58.142857142857146,86.71428571428571,26.857142857142858,14
27 de jul. de 2020,37,62,51,1,1043,84,23,1,62.714285714285715,85.28571428571429,27.142857142857142,11
26 de jul. de 2020,4,35,5,5,1069,75,24,1.05,64.57142857142857,86,27.857142857142858,11
25 de jul. de 2020,46,57,108,1,1105,80,25,1.27,77.14285714285714,85.14285714285714,28.714285714285715,6
24 de jul. de 2020,152,62,222,1,1117,93,30,1.25,74.28571428571429,84.28571428571429,29,6
23 de jul. de 2020,38,42,75,1,1028,92,32,1.02,59.714285714285715,80.57142857142857,28.714285714285715,7
22 de jul. de 2020,61,38,108,1,1033,89,28,1.14,67,78.42857142857143,28,6
21 de jul. de 2020,101,47,193,1,1011,84,28,1.24,73,78,27.428571428571427,9
20 de jul. de 2020,50,31,62,1,958,89,28,1.14,68.42857142857143,77.42857142857143,27,9
19 de jul. de 2020,92,0,112,0,940,69,30,1.05,64.42857142857143,75,26.857142857142858,10
18 de jul. de 2020,26,11,54,1,848,74,27,0.83,52.142857142857146,74.28571428571429,25.428571428571427,10
17 de jul. de 2020,50,23,85,2,834,67,28,0.96,61.285714285714285,73.57142857142857,25,12
16 de jul. de 2020,89,46,112,0,809,77,27,0.89,57.285714285714285,74,24.857142857142858,11
