Data,Casos novos,Recuperados,Descartados,Óbitos,Casos ativos,Internados SARG,Internados UTI,Rt,Casos 7 ultimos dias,Internações 7 últimos,UTI 7 últimos,Óbitos 7 últimos
25 de set. de 2020,20,41,123,0,17,13,10,0.67,14.714285714285714,13.428571428571429,11.428571428571429,5
24 de set. de 2020,9,21,52,1,38,14,14,0.68,16.142857142857142,13,12.142857142857142,7
23 de set. de 2020,22,49,104,0,51,16,13,0.66,16.285714285714285,12.428571428571429,12.142857142857142,9
22 de set. de 2020,23,62,84,0,78,15,9,0.59,15.571428571428571,12,12.428571428571429,10
21 de set. de 2020,11,20,36,2,117,14,10,0.57,15.714285714285714,12.714285714285714,13.285714285714286,13
20 de set. de 2020,9,19,34,1,128,12,11,0.56,16.428571428571427,13.714285714285714,14,12
19 de set. de 2020,9,19,34,1,139,10,13,0.59,18.142857142857142,15.285714285714286,14,11
18 de set. de 2020,30,29,113,2,150,10,15,0.63,20.142857142857142,16.857142857142858,13.857142857142858,10
17 de set. de 2020,10,32,52,3,151,10,14,0.55,18.571428571428573,18.285714285714285,13.285714285714286,8
16 de set. de 2020,17,48,96,1,176,13,15,0.62,21.714285714285715,20,13,6
15 de set. de 2020,24,49,65,3,208,20,15,0.71,26.428571428571427,22,12.571428571428571,7
14 de set. de 2020,16,32,26,1,236,21,15,0.77,30.285714285714285,23,12.142857142857142,4
13 de set. de 2020,21,46,62,0,253,23,11,0.68,28.571428571428573,23.857142857142858,13.142857142857142,4
12 de set. de 2020,23,31,85,0,278,21,12,0.62,27.428571428571427,24.428571428571427,14.857142857142858,4
11 de set. de 2020,19,32,86,0,286,20,11,0.59,28,26,16.285714285714285,5
10 de set. de 2020,32,35,105,1,299,22,12,0.6,29.571428571428573,28,17.714285714285715,6
9 de set. de 2020,50,58,125,2,303,27,12,0.65,33.42857142857143,30.142857142857142,19.142857142857142,5
8 de set. de 2020,51,43,168,0,313,27,12,0.58,30.571428571428573,29.857142857142858,20.428571428571427,4
